alpha,metric,warm_mean,warm_std,cold_mean,cold_std,delta_cold_minus_warm,se_delta,n_warm,n_cold
0.1,uq_joint_adv_acc/0.1,0.8180285714285713,0.005381752995643932,0.7610952380952382,0.015542130585259285,-0.05693333333333317,0.00929042127342145,5,3
0.1,uq_joint_adv_acc/0.15,0.8085142857142857,0.005383838248472361,0.7381904761904762,0.01134643100708941,-0.07032380952380957,0.006979324828139857,5,3
0.1,uq_detection/5pct/0.05,0.1053142857142857,0.003662273187237557,0.3940952380952381,0.009152153012373938,0.2887809523809524,0.0055320054139730325,5,3
0.1,uq_detection/5pct/0.1,0.2420857142857143,0.006559461152582932,0.8150952380952381,0.03369925007744702,0.5730095238095239,0.019676173189500542,5,3
0.1,uq_detection/5pct/0.15,0.36762857142857136,0.013242094291481606,0.9593809523809522,0.02649387042445902,0.5917523809523808,0.01640261164980258,5,3
0.1,gibbs_clean_acc,0.8047999978065491,0.01775385642269209,0.8026666641235352,0.018903267180068323,-0.0021333336830139382,0.013496334821073798,5,3
0.1,gibbs_clean_purify_acc/6,0.7984000086784363,0.016395114460581752,0.7826666633288065,0.043143191775085486,-0.01573334534962978,0.025965456947305652,5,3
0.1,gibbs_purify_acc/0.05/6,0.7023999929428101,0.021835756538208916,0.6866666674613953,0.054454894155977804,-0.015733325481414817,0.03292119710103864,5,3
0.1,gibbs_purify_acc/0.1/6,0.6184000015258789,0.019514100361417645,0.5693333347638448,0.034947559653149794,-0.049066666762034084,0.021983417943681638,5,3
0.1,gibbs_purify_acc/0.15/6,0.5216000139713287,0.03093218780070404,0.4933333396911621,0.03801754212370053,-0.028266674280166604,0.025944900940327104,5,3
1.0,acc,0.5682571428571429,0.009094402853695586,0.7146666666666667,0.024578625745501223,0.14640952380952377,0.014761817204041417,5,3
1.0,dis_loss,1.3170551414923233,0.014286342234209888,0.8454028588352781,0.05471685562102113,-0.4716522826570452,0.032230389560741445,5,3
1.0,gen_loss,-138.09472090287642,0.05489883430544066,-142.3248091726592,0.6163767939939435,-4.230088269782783,0.35671121904565417,5,3
1.0,uq_clean_log_px_mean,139.364892578125,0.04346243096140567,143.12592569986978,0.5630106864296643,3.761033121744788,0.32563498111487077,5,3
1.0,uq_clean_purify_acc/0.1,0.5401428571428571,0.00799553446797468,0.697047619047619,0.022940176561662955,0.15690476190476188,0.01371870795103549,5,3
1.0,rob/0.05,0.3680285714285714,0.004898354575877536,0.42414285714285715,0.010643576198144796,0.05611428571428573,0.006523854709610637,5,3
1.0,rob/0.1,0.2469142857142857,0.0012437599348388158,0.25466666666666665,0.0038712264927052466,0.007752380952380955,0.002303226564563223,5,3
1.0,rob/0.15,0.16928571428571426,0.006570652128042954,0.16304761904761902,0.009303645690225525,-0.006238095238095237,0.006122687448114736,5,3
1.0,uq_purify_acc/0.05/0.1,0.4660285714285714,0.008122405394201606,0.596952380952381,0.02076414361017441,0.1309238095238096,0.01252642196181868,5,3
1.0,uq_purify_acc/0.1/0.1,0.4144285714285714,0.008536237282244154,0.5340000000000001,0.022401257253346542,0.11957142857142872,0.013485013097186523,5,3
1.0,uq_purify_acc/0.15/0.1,0.38039999999999996,0.0074068363347515416,0.4859523809523809,0.025080008028728517,0.10555238095238095,0.014853995393102875,5,3
1.0,uq_joint_adv_acc/0.05,0.5663714285714285,0.00809484592887627,0.6911428571428572,0.030558408442368436,0.12477142857142864,0.018010480697804462,5,3
1.0,uq_joint_adv_acc/0.1,0.5633714285714285,0.006413156120707777,0.6716190476190477,0.025809479880475703,0.10824761904761915,0.015174610314137922,5,3
1.0,uq_joint_adv_acc/0.15,0.554,0.008280170559221367,0.6498571428571428,0.028094955607942212,0.09585714285714275,0.01663794123187643,5,3
1.0,uq_detection/5pct/0.05,0.11562857142857141,0.002324668069349491,0.4065714285714286,0.0014846149779162048,0.29094285714285717,0.0013474086997201937,5,3
1.0,uq_detection/5pct/0.1,0.2540285714285714,0.005924180818252168,0.8504285714285714,0.008518886580500337,0.5964,0.0055865606471196235,5,3
1.0,uq_detection/5pct/0.15,0.35760000000000003,0.005810265370313918,0.979904761904762,0.007712080813645002,0.6223047619047619,0.005155311199150925,5,3
1.0,gibbs_clean_acc,0.5672000050544739,0.005932948711186061,0.6693333387374878,0.03716627741440555,0.10213333368301392,0.02162137911952188,5,3
1.0,gibbs_clean_purify_acc/6,0.5776000022888184,0.009208679139805461,0.6786666711171468,0.0260256215910845,0.10106666882832849,0.015580038961250564,5,3
1.0,gibbs_purify_acc/0.05/6,0.4912000000476837,0.011798302602724107,0.5946666598320007,0.027227425186602563,0.10346665978431702,0.01658164295112025,5,3
1.0,gibbs_purify_acc/0.1/6,0.4224000036716461,0.015126140967598137,0.5199999809265137,0.0040000081062316895,0.09759997725486758,0.007147963560644613,5,3
1.0,gibbs_purify_acc/0.15/6,0.3727999985218048,0.018417387082897287,0.47466666499773663,0.01616580588549712,0.10186666647593184,0.012447936483668508,5,3
