max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.1,eval/test/rob/0.2,eval/test/rob/0.5,run_name,eval/test/genloss,eval/uq_clean_log_px_mean,eps_unit
32,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/25,2.0,0.998,0.0186727123218588,0.998,0.8555,0.65,0.4795,0.459,0.614,0.6445,0.675,0.5475,0.6155,0.663,0.688,0.278,0.386,0.4365,0.4865,0.9265,0.7370242214532872,0.7765,0.4814285714285714,0.599,0.2853025936599423,0.8555,0.65,0.4795,25.0,0.3748348755761981,-0.3552867472171783,rel
32,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/26,2.0,0.9985,0.0177057689579669,0.9985,0.864,0.6465,0.456,0.449,0.5855,0.612,0.6465,0.544,0.6295,0.6395,0.6595,0.2645,0.3505,0.422,0.4675,0.9315,0.7573529411764706,0.8045,0.553041018387553,0.589,0.2849264705882353,0.864,0.6465,0.456,26.0,0.3818490402773022,-0.3631505668163299,rel
32,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/27,2.0,0.998,0.0180151318199932,0.998,0.864,0.6215,0.4425,0.4585,0.5895,0.618,0.6695,0.57,0.64,0.6515,0.69,0.2835,0.359,0.4205,0.463,0.938,0.7830882352941176,0.781,0.5270805812417437,0.5715,0.2807174887892377,0.864,0.6215,0.4425,27.0,0.3810953628271818,-0.3622360527515411,rel
32,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/28,2.0,0.9985,0.0173730913375038,0.9985,0.847,0.6315,0.453,0.4495,0.587,0.6125,0.6405,0.513,0.5875,0.601,0.617,0.2795,0.376,0.444,0.487,0.9345,0.761437908496732,0.784,0.514246947082768,0.587,0.283363802559415,0.847,0.6315,0.453,28.0,0.3828290672972798,-0.3644540905952453,rel
32,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/29,2.0,0.998,0.0185991617909166,0.998,0.8565,0.6285,0.448,0.4655,0.599,0.6515,0.689,0.5905,0.6355,0.681,0.7215,0.298,0.3805,0.444,0.5055,0.9385,0.7909407665505227,0.7825,0.5087483176312247,0.5915,0.3079710144927536,0.8565,0.6285,0.448,29.0,0.3768339985981583,-0.3573107719421386,rel
1,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/3,2.0,1.0,0.0006220391510396,1.0,0.9355,0.657,0.3715,0.291,0.338,0.392,0.5315,0.3605,0.4735,0.518,0.6085,0.186,0.2535,0.323,0.4785,0.9585,0.3643410852713178,0.7065,0.1457725947521866,0.517,0.2617342879872713,0.9355,0.657,0.3715,3.0,0.9218366146087646,-0.9219776391983032,rel
64,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/30,2.0,0.998,0.0169546804972924,0.998,0.8625,0.6175,0.455,0.5165,0.6555,0.688,0.7215,0.6525,0.6895,0.704,0.721,0.2825,0.368,0.423,0.4655,0.9405,0.7636363636363637,0.8165,0.5856209150326798,0.608,0.3201834862385321,0.8625,0.6175,0.455,30.0,0.3590968577191233,-0.3411880731582641,rel
64,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/31,2.0,0.998,0.0180194281565491,0.998,0.858,0.6295,0.4495,0.5035,0.6525,0.6855,0.715,0.6705,0.718,0.7345,0.748,0.284,0.3635,0.418,0.4715,0.933,0.7605633802816901,0.811,0.5883940620782726,0.586,0.287920072661217,0.858,0.6295,0.4495,31.0,0.3637536084279418,-0.3447327613830566,rel
64,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/32,2.0,0.998,0.0183953220257535,0.998,0.8665,0.6245,0.4755,0.519,0.662,0.695,0.731,0.664,0.715,0.739,0.755,0.269,0.3805,0.4265,0.491,0.9335,0.7715355805243446,0.787,0.5459387483355526,0.592,0.2573879885605338,0.8665,0.6245,0.4755,32.0,0.3662450844421983,-0.3468641936779022,rel
64,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/33,2.0,0.998,0.0185374717402737,0.998,0.8565,0.6255,0.4695,0.513,0.665,0.708,0.7325,0.6675,0.7085,0.73,0.754,0.272,0.3745,0.4305,0.492,0.934,0.7491289198606271,0.791,0.582109479305741,0.585,0.2704995287464656,0.8565,0.6255,0.4695,33.0,0.3674750328063965,-0.3479249477386474,rel
64,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/34,2.0,0.998,0.0184905039495788,0.998,0.854,0.6225,0.469,0.518,0.6565,0.693,0.7405,0.6415,0.696,0.725,0.744,0.2905,0.3815,0.4255,0.4835,0.9285,0.726027397260274,0.799,0.5562913907284768,0.5725,0.2504708097928437,0.854,0.6225,0.469,34.0,0.3660651920363307,-0.34662926197052,rel
128,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/35,2.0,0.998,0.0102427367673954,0.998,0.8455,0.612,0.491,0.572,0.6895,0.7215,0.731,0.681,0.71,0.714,0.7185,0.276,0.361,0.438,0.5195,0.936,0.889967637540453,0.8445,0.6675257731958762,0.6325,0.3339882121807465,0.8455,0.612,0.491,35.0,0.33437529951334,-0.3232436180114746,rel
128,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/36,2.0,0.998,0.0180194281565491,0.998,0.8505,0.6125,0.4235,0.5275,0.6665,0.699,0.722,0.681,0.735,0.7465,0.7605,0.284,0.382,0.4345,0.482,0.94,0.7892976588628763,0.7935,0.5535483870967742,0.562,0.2836079791847354,0.8505,0.6125,0.4235,36.0,0.3637536084279418,-0.3447327613830566,rel
128,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/37,2.0,0.9975,0.0149214726698119,0.9975,0.8505,0.609,0.483,0.5485,0.668,0.705,0.724,0.6405,0.673,0.688,0.7005,0.2605,0.3285,0.3855,0.4365,0.9475,0.8294314381270903,0.819,0.6176470588235294,0.6245,0.3365570599613153,0.8505,0.609,0.483,37.0,0.3504959922283888,-0.3346661329269409,rel
128,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/38,2.0,0.9985,0.0145069995051017,0.9985,0.832,0.6155,0.462,0.534,0.677,0.7115,0.7395,0.633,0.682,0.6965,0.7045,0.262,0.3375,0.403,0.454,0.927,0.7410714285714286,0.8165,0.6241872561768531,0.6045,0.3243494423791822,0.832,0.6155,0.462,38.0,0.354101937264204,-0.33873450756073,rel
128,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/39,2.0,0.998,0.0184905039495788,0.998,0.8495,0.6365,0.47,0.5195,0.6705,0.7055,0.7465,0.6555,0.7025,0.73,0.748,0.2835,0.385,0.4325,0.493,0.933,0.7541528239202658,0.8085,0.5928473177441541,0.5905,0.270754716981132,0.8495,0.6365,0.47,39.0,0.3660651920363307,-0.34662926197052,rel
1,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/4,2.0,1.0,0.0005507533778654,1.0,0.9375,0.647,0.3785,0.3105,0.359,0.4035,0.5275,0.3775,0.491,0.5245,0.614,0.2035,0.2525,0.3145,0.471,0.964,0.44,0.701,0.1529745042492918,0.5145,0.2582461786001609,0.9375,0.647,0.3785,4.0,0.9190908949822189,-0.9192851781845092,rel
2,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/5,2.0,0.9995,0.0026315156355849,0.9995,0.929,0.67,0.425,0.306,0.375,0.4245,0.562,0.4065,0.522,0.555,0.6665,0.1945,0.2945,0.3465,0.446,0.96,0.4366197183098591,0.718,0.15,0.522,0.2052173913043478,0.929,0.67,0.425,5.0,0.8308633267879486,-0.828887939453125,rel
2,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/6,2.0,0.9995,0.0037779072881676,0.9995,0.933,0.6525,0.411,0.297,0.3625,0.411,0.547,0.415,0.5305,0.5725,0.688,0.1865,0.2895,0.3405,0.436,0.963,0.4477611940298507,0.6995,0.1366906474820144,0.5165,0.2164685908319185,0.933,0.6525,0.411,6.0,0.8333782590925694,-0.8302257657051086,rel
2,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/7,2.0,0.9995,0.0022385010470316,0.9995,0.9415,0.661,0.434,0.291,0.36,0.3975,0.5535,0.402,0.5305,0.5565,0.6635,0.184,0.2865,0.351,0.451,0.967,0.4358974358974359,0.713,0.1548672566371681,0.5325,0.2137809187279152,0.9415,0.661,0.434,7.0,0.8299872167408466,-0.8283343315124512,rel
2,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/8,2.0,0.9995,0.0040987317406688,0.9995,0.9345,0.667,0.4475,0.313,0.3815,0.4305,0.5905,0.415,0.5235,0.5625,0.6795,0.1895,0.28,0.331,0.433,0.965,0.465648854961832,0.7225,0.1681681681681681,0.5365,0.2081447963800905,0.9345,0.667,0.4475,8.0,0.833454629406333,-0.8299450874328613,rel
2,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/9,2.0,0.9995,0.0040496126785001,0.9995,0.9395,0.645,0.425,0.2995,0.3615,0.403,0.554,0.4145,0.5335,0.5625,0.6705,0.19,0.2745,0.3295,0.437,0.966,0.4380165289256198,0.6975,0.1492957746478873,0.53,0.2147826086956521,0.9395,0.645,0.425,9.0,0.8319262303411961,-0.828442394733429,rel
