,mean,std,count
uq_joint_det_err_passed/1pct/0.1,0.15214427297244218,0.006132413062789487,5.0
adaptive_detection/5pct/0.1,0.022,0.0017261494247992244,5.0
uq_joint_detection/5pct/0.1,0.022,0.0017261494247992244,5.0
uq_joint_det_err_detected/5pct/0.1,0.4071150988220874,0.07745888747985959,5.0
uq_joint_det_err_passed/5pct/0.1,0.14755586323520162,0.0059723005009194915,5.0
adaptive_detection/10pct/0.1,0.051942857142857145,0.002688979777703426,5.0
uq_joint_detection/10pct/0.1,0.051942857142857145,0.002688979777703426,5.0
uq_joint_det_err_detected/10pct/0.1,0.3668006505946962,0.06031286596595468,5.0
uq_joint_det_err_passed/10pct/0.1,0.14160651040286729,0.005325725354368858,5.0
adaptive_detection/20pct/0.1,0.12137142857142857,0.004000765232924767,5.0
uq_joint_detection/20pct/0.1,0.12137142857142857,0.004000765232924767,5.0
uq_joint_det_err_detected/20pct/0.1,0.3442404805731751,0.04753240214386692,5.0
uq_joint_det_err_passed/20pct/0.1,0.12684301013523253,0.006478763387530523,5.0
uq_purify_acc/0.1/0.2,0.8318285822868348,0.005667127010397665,5.0
uq_purify_recovery/0.1/0.2,0.08525574803352357,0.0028230718148837264,5.0
uq_joint_purify_acc/0.1/0.2,0.8374571442604065,0.005152167890593586,5.0
uq_joint_purify_recovery/0.1/0.2,0.0788421705365181,0.0042080867582654806,5.0
adaptive_uq_purify_acc/0.1/0.2,0.8374571442604065,0.005152167890593586,5.0
uq_purify_acc/0.1/0.3,0.8286285758018493,0.005568305438360187,5.0
uq_purify_recovery/0.1/0.3,0.10693229883909225,0.005606330692410231,5.0
uq_joint_purify_acc/0.1/0.3,0.8342571496963501,0.004925351589900949,5.0
uq_joint_purify_recovery/0.1/0.3,0.10357226580381393,0.005532671145116711,5.0
adaptive_uq_purify_acc/0.1/0.3,0.8342571496963501,0.004925351589900949,5.0
sgld_adv_acc/0.1,0.8501999974250793,0.007463245808905616,5.0
sgld_joint_adv_acc/0.1,0.8558000087738037,0.00653451026331637,5.0
sgld_purify_acc/0.1/1,0.8460000038146973,0.0074161994515659,5.0
sgld_purify_recovery/0.1/1,0.013162392750382423,0.010081330445039739,5.0
sgld_purify_acc/0.1/3,0.8423999905586242,0.007987500063313925,5.0
sgld_purify_recovery/0.1/3,0.030751090683043002,0.013168650479823456,5.0
sgld_purify_acc/0.1/6,0.8388000130653381,0.009576011962302929,5.0
sgld_purify_recovery/0.1/6,0.054080431163311,0.018545102342733256,5.0
sgld_joint_purify_acc/0.1/1,0.853600001335144,0.006877499400046555,5.0
sgld_joint_purify_recovery/0.1/1,0.021970460936427117,0.008065915196302705,5.0
adaptive_sgld_purify_acc/0.1/1,0.853600001335144,0.006877499400046555,5.0
sgld_joint_purify_acc/0.1/3,0.8485999941825867,0.006693281754653188,5.0
sgld_joint_purify_recovery/0.1/3,0.03191561140120029,0.017136090960270262,5.0
adaptive_sgld_purify_acc/0.1/3,0.8485999941825867,0.006693281754653188,5.0
sgld_joint_purify_acc/0.1/6,0.8437999963760376,0.0065345358035107295,5.0
sgld_joint_purify_recovery/0.1/6,0.04852669946849346,0.02052906255255779,5.0
adaptive_sgld_purify_acc/0.1/6,0.8437999963760376,0.0065345358035107295,5.0
rob/0.2,0.798628568649292,0.0054366450096766765,5.0
uq_adv_acc/0.2,0.798628568649292,0.0054366450096766765,5.0
uq_detection/1pct/0.2,0.01077142857142857,0.0011806259149368223,5.0
uq_det_err_detected/1pct/0.2,0.40820907487574154,0.07312264257978003,5.0
uq_det_err_passed/1pct/0.2,0.19917322873598442,0.005437356936872379,5.0
uq_detection/5pct/0.2,0.0534,0.005135311925426592,5.0
uq_det_err_detected/5pct/0.2,0.3470073310077271,0.03029445215678203,5.0
uq_det_err_passed/5pct/0.2,0.19311450818626535,0.005069881980583001,5.0
uq_detection/10pct/0.2,0.10740000000000001,0.007505372225605997,5.0
uq_det_err_detected/10pct/0.2,0.33967464339975584,0.03545125165735133,5.0
uq_det_err_passed/10pct/0.2,0.18458517839752345,0.005042586691515346,5.0
uq_detection/20pct/0.2,0.21942857142857145,0.015918478544875873,5.0
uq_det_err_detected/20pct/0.2,0.32882382426477663,0.025335051016922152,5.0
uq_det_err_passed/20pct/0.2,0.16513720349500716,0.007148392392252649,5.0
adaptive_rob/0.2,0.817285704612732,0.0061187303636815946,5.0
uq_joint_adv_acc/0.2,0.817285704612732,0.0061187303636815946,5.0
adaptive_detection/1pct/0.2,0.0014285714285714286,0.0007354021529276428,5.0
uq_joint_detection/1pct/0.2,0.0014285714285714286,0.0007354021529276428,5.0
uq_joint_det_err_detected/1pct/0.2,0.7483065953654189,0.2042501917489837,5.0
uq_joint_det_err_passed/1pct/0.2,0.1820031075894319,0.005917952631794615,5.0
adaptive_detection/5pct/0.2,0.010685714285714284,0.0021745278633697545,5.0
uq_joint_detection/5pct/0.2,0.010685714285714284,0.0021745278633697545,5.0
uq_joint_det_err_detected/5pct/0.2,0.5555909709763205,0.0820321104220698,5.0
uq_joint_det_err_passed/5pct/0.2,0.17873592072657427,0.006240016633656438,5.0
adaptive_detection/10pct/0.2,0.024428571428571424,0.0026611337157424505,5.0
uq_joint_detection/10pct/0.2,0.024428571428571424,0.0026611337157424505,5.0
uq_joint_det_err_detected/10pct/0.2,0.5056384479717813,0.06634689143540662,5.0
uq_joint_det_err_passed/10pct/0.2,0.1746874730098099,0.0062160640493214014,5.0
adaptive_detection/20pct/0.2,0.06828571428571428,0.00527121563642717,5.0
uq_joint_detection/20pct/0.2,0.06828571428571428,0.00527121563642717,5.0
uq_joint_det_err_detected/20pct/0.2,0.4680113473367844,0.07268871248418597,5.0
uq_joint_det_err_passed/20pct/0.2,0.16180827626593627,0.005687026766990938,5.0
uq_purify_acc/0.2/0.2,0.792799997329712,0.005357235242333809,5.0
uq_purify_recovery/0.2/0.2,0.0837479591369629,0.004971511316002928,5.0
uq_joint_purify_acc/0.2/0.2,0.8081714272499084,0.005225914133806983,5.0
uq_joint_purify_recovery/0.2/0.2,0.06752177700400352,0.006948034277131406,5.0
adaptive_uq_purify_acc/0.2/0.2,0.8081714272499084,0.005225914133806983,5.0
uq_purify_acc/0.2/0.3,0.7892285823822022,0.005682602823985658,5.0
uq_purify_recovery/0.2/0.3,0.10949170589447021,0.004985853231225016,5.0
uq_joint_purify_acc/0.2/0.3,0.804285717010498,0.005580571185158724,5.0
uq_joint_purify_recovery/0.2/0.3,0.09090523719787598,0.00931182135458505,5.0
adaptive_uq_purify_acc/0.2/0.3,0.804285717010498,0.005580571185158724,5.0
sgld_adv_acc/0.2,0.8112000107765198,0.002863556486222691,5.0
sgld_joint_adv_acc/0.2,0.8299999833106995,0.007905703574747049,5.0
sgld_purify_acc/0.2/1,0.8085999965667725,0.005412944371101542,5.0
sgld_purify_recovery/0.2/1,0.02767000310122967,0.011878446211575125,5.0
sgld_purify_acc/0.2/3,0.8036000013351441,0.007569685585066534,5.0
sgld_purify_recovery/0.2/3,0.04570774771273136,0.013945224123091548,5.0
sgld_purify_acc/0.2/6,0.798799991607666,0.0077588455142760405,5.0
sgld_purify_recovery/0.2/6,0.0690815307199955,0.02319572321204022,5.0
sgld_joint_purify_acc/0.2/1,0.826199984550476,0.006016642401744921,5.0
sgld_joint_purify_recovery/0.2/1,0.009493617713451386,0.0054230824473095515,5.0
adaptive_sgld_purify_acc/0.2/1,0.826199984550476,0.006016642401744921,5.0
sgld_joint_purify_acc/0.2/3,0.8203999996185303,0.007092253788553057,5.0
sgld_joint_purify_recovery/0.2/3,0.024835931602865458,0.013275278250539606,5.0
adaptive_sgld_purify_acc/0.2/3,0.8203999996185303,0.007092253788553057,5.0
sgld_joint_purify_acc/0.2/6,0.8169999837875366,0.0071763448644585484,5.0
sgld_joint_purify_recovery/0.2/6,0.04463749416172504,0.018585602422680227,5.0
adaptive_sgld_purify_acc/0.2/6,0.8169999837875366,0.0071763448644585484,5.0
rob/0.3,0.755142867565155,0.00553745315640541,5.0
uq_adv_acc/0.3,0.755142867565155,0.00553745315640541,5.0
uq_detection/1pct/0.3,0.01122857142857143,0.0017220064234633329,5.0
uq_det_err_detected/1pct/0.3,0.48304786633900554,0.04497059449716903,5.0
uq_det_err_passed/1pct/0.3,0.2421738434259691,0.005313080475196631,5.0
uq_detection/5pct/0.3,0.05297142857142857,0.006357062599814412,5.0
uq_det_err_detected/5pct/0.3,0.4048375500888339,0.03449038046630045,5.0
uq_det_err_passed/5pct/0.3,0.23596562330679854,0.00538380863785141,5.0
uq_detection/10pct/0.3,0.10782857142857143,0.011542026136989068,5.0
uq_det_err_detected/10pct/0.3,0.38887064633577617,0.02685570809034558,5.0
uq_det_err_passed/10pct/0.3,0.2273103994621209,0.004802915472169602,5.0
