max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.2,eval/test/rob/0.4,eval/test/rob/1.0,run_name,eval/test/genloss,eval/uq_clean_log_px_mean
128,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/35,,0.998,0.013217887099017389,0.998,0.8665,0.7155,0.5825,0.179,0.2105,0.3505,0.4995,0.281,0.3765,0.452,0.5255,0.314,0.419,0.463,0.4955,0.957,0.7078651685393258,0.875,0.5782073813708261,0.6475,0.25868263473053893,0.8665,0.7155,0.5825,35,0.5348984925076365,-0.5236373543739319
128,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/36,,0.998,0.010337933344999328,0.998,0.862,0.688,0.521,0.1985,0.3115,0.412,0.496,0.3095,0.4215,0.5195,0.573,0.306,0.4195,0.44,0.4805,0.954,0.6811594202898551,0.8545,0.5432692307692307,0.6165,0.31210855949895616,0.862,0.688,0.521,36,0.520964621566236,-0.5116573572158813
128,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/37,,0.999,0.010216100752586499,0.999,0.849,0.6995,0.549,0.209,0.3335,0.4165,0.506,0.299,0.402,0.494,0.564,0.291,0.4065,0.4365,0.4955,0.9395,0.6125827814569537,0.8815,0.6173044925124792,0.646,0.2982261640798226,0.849,0.6995,0.549,37,0.5200133062899113,-0.5112259984016418
128,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/38,,0.9985,0.010946230511763133,0.9985,0.852,0.701,0.563,0.2065,0.308,0.444,0.583,0.3015,0.443,0.512,0.571,0.317,0.4325,0.46,0.5025,0.945,0.6351351351351351,0.871,0.5936454849498328,0.627,0.2757437070938215,0.852,0.701,0.563,38,0.5328512564301491,-0.5222244262695312
128,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/39,,0.9995,0.011773256832384504,0.9995,0.8625,0.7055,0.5925,0.1925,0.2575,0.3955,0.4875,0.289,0.3715,0.4475,0.525,0.2505,0.3895,0.4325,0.478,0.9575,0.6945454545454546,0.8855,0.6264855687606112,0.6925,0.3239263803680982,0.8625,0.7055,0.5925,39,0.5319730713963509,-0.5213504433631897
1,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/4,,0.9975,0.014369946991791949,0.9975,0.854,0.6815,0.534,0.226,0.2605,0.3285,0.452,0.3415,0.3645,0.42,0.4945,0.2645,0.3345,0.3605,0.418,0.994,0.9863013698630136,0.922,0.8226059654631083,0.662,0.4130901287553648,0.854,0.6815,0.534,4,0.5690868748351932,-0.5573837161064148
2,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/5,,0.9985,0.01605553409899585,0.9985,0.8605,0.6885,0.5585,0.197,0.2745,0.363,0.425,0.287,0.3585,0.4145,0.4645,0.216,0.3005,0.3245,0.3805,0.9775,0.8494623655913979,0.9255,0.7961476725521669,0.6915,0.4337485843714609,0.8605,0.6885,0.5585,5,0.5627850852906704,-0.5481975078582764
2,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/6,,0.9975,0.01974294733372517,0.9975,0.8605,0.673,0.5485,0.2085,0.323,0.4,0.421,0.3355,0.4155,0.4695,0.4955,0.272,0.3405,0.3765,0.4335,0.984,0.8924731182795699,0.9,0.7431192660550459,0.6595,0.37652270210409744,0.8605,0.673,0.5485,6,0.597199397161603,-0.5778647661209106
2,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/7,,0.9995,0.015058672288432717,0.9995,0.8755,0.696,0.5405,0.17,0.345,0.4095,0.425,0.3095,0.418,0.456,0.4715,0.265,0.3295,0.369,0.4185,0.992,0.9357429718875502,0.941,0.8108552631578947,0.7115,0.4504896626768226,0.8755,0.696,0.5405,7,0.5654382007196546,-0.5517741441726685
2,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/8,,0.9995,0.01625308918301016,0.9995,0.86,0.6965,0.531,0.1915,0.204,0.279,0.4265,0.336,0.3635,0.4205,0.5085,0.244,0.3185,0.349,0.4165,0.9795,0.8535714285714285,0.912,0.7545304777594728,0.667,0.40831556503198296,0.86,0.6965,0.531,8,0.5541032366454601,-0.5407347679138184
2,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/circles_4k_1303/9,,0.9995,0.018723104090895504,0.9995,0.842,0.6815,0.555,0.181,0.2545,0.299,0.3755,0.305,0.3515,0.379,0.4525,0.2615,0.33,0.39,0.44,0.984,0.8987341772151899,0.934,0.814756671899529,0.6765,0.40337078651685393,0.842,0.6815,0.555,9,0.5841631405055523,-0.5670232176780701
