,mean,std,count
uq_det_err_passed/5pct/0.2,0.5872522589050516,0.005854655481028126,5.0
uq_detection/10pct/0.2,0.24422857142857146,0.006164910579155195,5.0
uq_det_err_detected/10pct/0.2,0.6287829759887547,0.002665447785737425,5.0
uq_det_err_passed/10pct/0.2,0.5832461181333114,0.006321702681476568,5.0
uq_detection/20pct/0.2,0.3951142857142857,0.0018854978230738652,5.0
uq_det_err_detected/20pct/0.2,0.6193501430083462,0.004370744387854677,5.0
uq_det_err_passed/20pct/0.2,0.5780938366337134,0.005577641153153285,5.0
adaptive_rob/0.2,0.9016857147216797,0.0015759640461111277,5.0
uq_joint_adv_acc/0.2,0.9016857147216797,0.0015759640461111277,5.0
adaptive_detection/1pct/0.2,0.00014285714285714287,0.00010101525445522109,5.0
uq_joint_detection/1pct/0.2,0.00014285714285714287,0.00010101525445522109,5.0
uq_joint_det_err_detected/1pct/0.2,1.0,0.0,4.0
uq_joint_det_err_passed/1pct/0.2,0.09818544362220483,0.0015817275757010953,5.0
adaptive_detection/5pct/0.2,0.0035714285714285713,0.0002020305089104421,5.0
uq_joint_detection/5pct/0.2,0.0035714285714285713,0.0002020305089104421,5.0
uq_joint_det_err_detected/5pct/0.2,0.6717681159420291,0.03087575633636485,5.0
uq_joint_det_err_passed/5pct/0.2,0.09625811705370431,0.0016278042696022538,5.0
adaptive_detection/10pct/0.2,0.009828571428571428,0.0006177642374411329,5.0
uq_joint_detection/10pct/0.2,0.009828571428571428,0.0006177642374411329,5.0
uq_joint_det_err_detected/10pct/0.2,0.5708807448664764,0.026579835001937144,5.0
uq_joint_det_err_passed/10pct/0.2,0.09363477142171468,0.0016476006010454267,5.0
adaptive_detection/20pct/0.2,0.03085714285714286,0.001115749953700949,5.0
uq_joint_detection/20pct/0.2,0.03085714285714286,0.001115749953700949,5.0
uq_joint_det_err_detected/20pct/0.2,0.5069460717856858,0.01692329136350446,5.0
uq_joint_det_err_passed/20pct/0.2,0.08531833496483489,0.0016815254594567967,5.0
uq_purify_acc/0.2/0.2,0.49639999866485596,0.00353610477020401,5.0
uq_purify_recovery/0.2/0.2,0.18486079275608064,0.003192251878066282,5.0
uq_joint_purify_acc/0.2/0.2,0.899657142162323,0.0015733857767792805,5.0
uq_joint_purify_recovery/0.2/0.2,0.0,0.0,5.0
adaptive_uq_purify_acc/0.2/0.2,0.899657142162323,0.0015733857767792805,5.0
uq_purify_acc/0.2/0.3,0.4946571409702301,0.0035378419014359492,5.0
uq_purify_recovery/0.2/0.3,0.1831327885389328,0.002779362397688975,5.0
uq_joint_purify_acc/0.2/0.3,0.8992571473121643,0.0018609882359976256,5.0
uq_joint_purify_recovery/0.2/0.3,0.00028901733458042145,0.000646262406797623,5.0
adaptive_uq_purify_acc/0.2/0.3,0.8992571473121643,0.0018609882359976256,5.0
sgld_purify_acc/0.2/1,0.47639999389648435,0.005770615551097263,5.0
sgld_purify_recovery/0.2/1,0.10587215423583984,0.0023935223981175874,5.0
sgld_purify_acc/0.2/3,0.4838000059127808,0.009038808546401753,5.0
sgld_purify_recovery/0.2/3,0.13593118488788605,0.005886522936809199,5.0
sgld_purify_acc/0.2/5,0.4858000040054321,0.00843801362912214,5.0
sgld_purify_recovery/0.2/5,0.14362064003944397,0.005846496049776314,5.0
sgld_joint_purify_acc/0.2/1,0.9159999966621399,0.0024495068735873615,5.0
sgld_joint_purify_recovery/0.2/1,0.0,0.0,5.0
adaptive_sgld_purify_acc/0.2/1,0.9159999966621399,0.0024495068735873615,5.0
sgld_joint_purify_acc/0.2/3,0.9157999992370606,0.0023874852225880326,5.0
sgld_joint_purify_recovery/0.2/3,0.0,0.0,5.0
adaptive_sgld_purify_acc/0.2/3,0.9157999992370606,0.0023874852225880326,5.0
sgld_joint_purify_acc/0.2/5,0.9156000018119812,0.002701863862440505,5.0
sgld_joint_purify_recovery/0.2/5,0.0,0.0,5.0
adaptive_sgld_purify_acc/0.2/5,0.9156000018119812,0.002701863862440505,5.0
rob/0.3,0.09045714288949966,0.0012180613350719703,5.0
uq_adv_acc/0.3,0.09045714288949966,0.0012180613350719703,5.0
uq_detection/1pct/0.3,0.03831428571428571,0.002611591117166949,5.0
uq_det_err_detected/1pct/0.3,0.8646851079586341,0.01590819283558588,5.0
uq_det_err_passed/1pct/0.3,0.911314013714408,0.001812727724908918,5.0
uq_detection/5pct/0.3,0.17405714285714285,0.005887205081655422,5.0
uq_det_err_detected/5pct/0.3,0.8579968863879006,0.006350879648918473,5.0
uq_det_err_passed/5pct/0.3,0.9204441986602883,0.001510652275109381,5.0
uq_detection/10pct/0.3,0.2795142857142857,0.007905436001091084,5.0
uq_det_err_detected/10pct/0.3,0.8584967087725051,0.004166047435884323,5.0
uq_det_err_passed/10pct/0.3,0.9293880160482804,0.0025895693117511764,5.0
uq_detection/20pct/0.3,0.41579999999999995,0.005568314147835026,5.0
uq_det_err_detected/20pct/0.3,0.8614798176274355,0.004100016186825245,5.0
uq_det_err_passed/20pct/0.3,0.943772370610772,0.0026733658933977087,5.0
adaptive_rob/0.3,0.8886857151985168,0.001648761908501892,5.0
uq_joint_adv_acc/0.3,0.8886857151985168,0.001648761908501892,5.0
adaptive_detection/1pct/0.3,0.0,0.0,5.0
uq_joint_detection/1pct/0.3,0.0,0.0,5.0
uq_joint_det_err_detected/1pct/0.3,,,0.0
uq_joint_det_err_passed/1pct/0.3,0.11131428571428573,0.0016487472052861142,5.0
adaptive_detection/5pct/0.3,0.0009142857142857144,0.0002595128874940707,5.0
