max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.1,eval/test/rob/0.2,eval/test/rob/0.5,run_name,eval/test/genloss,eval/uq_clean_log_px_mean,eps_unit
4,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/13,2.0,1.0,0.001973324417122,1.0,0.978,0.6845,0.353,0.11,0.1555,0.2355,0.4125,0.253,0.343,0.4415,0.54,0.0735,0.1195,0.1995,0.3,0.981,0.5227272727272727,0.766,0.2614896988906497,0.457,0.1638330757341576,0.978,0.6845,0.353,13.0,1.029824409633875,-1.0368467569351196,rel
4,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/14,2.0,1.0,7.941812896206102e-05,1.0,0.994,0.699,0.358,0.114,0.154,0.219,0.2935,0.157,0.2065,0.274,0.333,0.0825,0.1085,0.147,0.2075,0.993,0.1666666666666666,0.705,0.021594684385382,0.4485,0.1409657320872274,0.994,0.699,0.358,14.0,1.2086188830435276,-1.210416316986084,rel
8,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/15,2.0,1.0,0.0001183257847969,1.0,0.99,0.6755,0.383,0.111,0.1545,0.243,0.32,0.1745,0.219,0.284,0.3735,0.072,0.105,0.1305,0.219,0.992,0.2,0.6935,0.0585516178736517,0.4535,0.1142625607779578,0.99,0.6755,0.383,15.0,1.2580717727541924,-1.2604553699493408,rel
8,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/16,2.0,0.9995,0.0074316367390565,0.9995,0.9785,0.5895,0.3435,0.134,0.203,0.2755,0.4255,0.277,0.38,0.448,0.5795,0.0475,0.119,0.1895,0.347,0.971,0.7441860465116279,0.686,0.292326431181486,0.445,0.1881188118811881,0.9785,0.5895,0.3435,16.0,1.05464200489223,-1.0560845136642456,rel
8,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/17,2.0,1.0,6.357378799748403e-05,1.0,0.9925,0.669,0.366,0.1335,0.1725,0.2015,0.306,0.1935,0.2455,0.2845,0.42,0.0795,0.1075,0.145,0.235,0.994,0.2666666666666666,0.6925,0.0770392749244713,0.436,0.111198738170347,0.9925,0.669,0.366,17.0,1.1818773187696934,-1.1838523149490356,rel
8,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/18,2.0,1.0,0.0019051081344514,1.0,0.974,0.634,0.3865,0.1315,0.179,0.228,0.41,0.2535,0.3365,0.42,0.5445,0.072,0.1185,0.178,0.284,0.9765,0.4038461538461538,0.7395,0.2882513661202185,0.475,0.1458842705786471,0.974,0.634,0.3865,18.0,1.0403778851032257,-1.0546799898147583,rel
8,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/19,2.0,1.0,7.941812896206102e-05,1.0,0.9935,0.7075,0.34,0.1085,0.15,0.222,0.2865,0.1475,0.199,0.262,0.3235,0.0775,0.0935,0.139,0.206,0.9935,0.1538461538461538,0.7165,0.0324786324786324,0.432,0.1393939393939394,0.9935,0.7075,0.34,19.0,1.2086188830435276,-1.210416316986084,rel
1,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/2,2.0,1.0,6.357378799748403e-05,1.0,0.991,0.6675,0.377,0.1245,0.1695,0.203,0.319,0.2075,0.2565,0.293,0.417,0.0935,0.126,0.166,0.2505,0.9915,0.2222222222222222,0.687,0.0616541353383458,0.443,0.1059390048154093,0.991,0.6675,0.377,2.0,1.1818773187696934,-1.1838523149490356,rel
16,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/20,2.0,1.0,0.0001183257847969,1.0,0.99,0.6655,0.361,0.121,0.1595,0.252,0.323,0.167,0.2205,0.288,0.372,0.0785,0.1065,0.1315,0.21,0.993,0.35,0.6835,0.0538116591928251,0.439,0.1220657276995305,0.99,0.6655,0.361,20.0,1.2580717727541924,-1.2604553699493408,rel
16,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/circles_4k_1503/21,2.0,0.9995,0.0074316367390565,0.9995,0.978,0.607,0.3415,0.1425,0.2045,0.281,0.4285,0.2825,0.381,0.449,0.588,0.058,0.134,0.193,0.3505,0.975,0.7045454545454546,0.708,0.3091603053435114,0.436,0.1769172361427486,0.978,0.607,0.3415,21.0,1.05464200489223,-1.0560845136642456,rel
