max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.2,eval/test/rob/0.4,eval/test/rob/1.0,run_name,eval/test/genloss,eval/uq_clean_log_px_mean
128,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/35,,1.0,0.0004256592897036171,1.0,0.962,0.6115,0.404,0.2565,0.318,0.415,0.466,0.342,0.44,0.5265,0.5955,0.124,0.167,0.209,0.322,0.9795,0.4605263157894737,0.695,0.2175032175032175,0.584,0.3036912751677852,0.962,0.6115,0.404,35,1.05945186316967,-1.0594826936721802
128,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/36,,1.0,0.00020627270896511618,1.0,0.94,0.5705,0.338,0.351,0.497,0.576,0.6725,0.4245,0.5535,0.621,0.7125,0.117,0.191,0.231,0.316,0.973,0.55,0.64,0.16530849825378346,0.528,0.3119335347432024,0.94,0.5705,0.338,36,1.048380920663476,-1.0491443872451782
128,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/37,,1.0,0.000832384085697413,1.0,0.967,0.702,0.38,0.1925,0.3205,0.394,0.4995,0.3185,0.43,0.512,0.5815,0.1405,0.1835,0.226,0.3215,0.986,0.5757575757575758,0.781,0.2651006711409396,0.5555,0.31129032258064515,0.967,0.702,0.38,37,1.0538388397544622,-1.0531216859817505
128,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/38,,1.0,0.0008259880887635518,1.0,0.9485,0.5895,0.4215,0.299,0.3875,0.4555,0.578,0.4225,0.5285,0.582,0.6865,0.1465,0.183,0.211,0.3065,0.973,0.5436893203883495,0.6595,0.19366626065773446,0.5405,0.21348314606741572,0.9485,0.5895,0.4215,38,0.9796678051352501,-0.9800893068313599
128,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/39,,1.0,0.0007955046012284583,1.0,0.956,0.589,0.403,0.2245,0.373,0.4555,0.5295,0.2815,0.421,0.4775,0.587,0.1045,0.149,0.204,0.298,0.973,0.4659090909090909,0.6475,0.145985401459854,0.5205,0.24371859296482412,0.956,0.589,0.403,39,1.0502192974090576,-1.0503957271575928
1,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/4,,1.0,0.0009087755333894165,1.0,0.9595,0.6335,0.4325,0.224,0.3605,0.434,0.501,0.294,0.397,0.459,0.5585,0.1725,0.2205,0.272,0.3445,0.9765,0.4444444444444444,0.668,0.09549795361527967,0.5275,0.20440528634361232,0.9595,0.6335,0.4325,4,1.065446525812149,-1.0652265548706055
2,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/5,,1.0,0.0005329072700988036,1.0,0.958,0.6365,0.3955,0.255,0.3225,0.412,0.473,0.307,0.4035,0.492,0.5615,0.137,0.18,0.2455,0.3255,0.9745,0.40476190476190477,0.709,0.20082530949105915,0.574,0.2969396195202647,0.958,0.6365,0.3955,5,1.071094086393714,-1.0707991123199463
2,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/6,,1.0,0.00029990372354404826,1.0,0.937,0.5395,0.3525,0.3125,0.4465,0.5395,0.624,0.362,0.4895,0.563,0.6695,0.118,0.1805,0.2325,0.349,0.9705,0.5396825396825397,0.624,0.18892508143322476,0.529,0.2888030888030888,0.937,0.5395,0.3525,6,1.0392757952213287,-1.0397634506225586
2,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/7,,1.0,0.0004197528860458988,1.0,0.933,0.5875,0.371,0.302,0.4705,0.545,0.634,0.3925,0.5095,0.594,0.6875,0.149,0.174,0.2165,0.3095,0.9765,0.6567164179104478,0.6775,0.21818181818181817,0.519,0.2647058823529412,0.933,0.5875,0.371,7,1.0413942113518715,-1.041221261024475
2,4,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/8,,1.0,0.0003118370384527225,1.0,0.9695,0.687,0.4065,0.3045,0.356,0.4085,0.563,0.3585,0.432,0.47,0.608,0.147,0.204,0.237,0.34,0.9865,0.5901639344262295,0.749,0.2108626198083067,0.525,0.2047177759056445,0.9695,0.687,0.4065,8,1.0501513071358204,-1.0509346723556519
2,5,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/adv/legendre/d10D6/moons_4k_1503/9,,1.0,0.0009087755333894165,1.0,0.954,0.6265,0.427,0.2155,0.354,0.4335,0.4945,0.306,0.4,0.4755,0.5625,0.1535,0.207,0.2725,0.358,0.9765,0.5217391304347826,0.6695,0.11914323962516733,0.518,0.19109947643979058,0.954,0.6265,0.427,9,1.065446525812149,-1.0652265548706055
